"cons;rf;proportion (read/write);hardware MTTF (failure sw);hardware MTTR (restore sw);energy (J);availability"
"1;3;0.8 read / 0.2 write;2880;0,250;2522363019;0,99999999"
"1;3;0.8 read / 0.2 write;2880;1,000;2522363009;0,99999998"
"1;3;0.8 read / 0.2 write;5000;0,250;2522363021;0,99999999"
"1;3;0.8 read / 0.2 write;5000;1,000;2522363011;0,99999998"
"3;3;0.8 read / 0.2 write;2880;0,250;2602935259;0,99978594"
"3;3;0.8 read / 0.2 write;2880;1,000;2601164958;0,99910597"
"3;3;0.8 read / 0.2 write;5000;0,250;2603172044;0,99987689"
"3;3;0.8 read / 0.2 write;5000;1,000;2602041827;0,99944279"
"1;3;0.6 read / 0.4 write;2880;0,250;2532407644;0,99999998"
"1;3;0.6 read / 0.4 write;2880;1,000;2532407629;0,99999997"
"1;3;0.6 read / 0.4 write;5000;0,250;2532407645;0,99999998"
"1;3;0.6 read / 0.4 write;5000;1,000;2532407630;0,99999997"
"3;3;0.6 read / 0.4 write;2880;0,250;2603920889;0,99976644"
"3;3;0.6 read / 0.4 write;2880;1,000;2602015965;0,99903505"
"3;3;0.6 read / 0.4 write;5000;0,250;2604176676;0,99986465"
"3;3;0.6 read / 0.4 write;5000;1,000;2603152683;0,99947149"
"1;5;0.8 read / 0.2 write;2880;0,250;2524233889;0,99999999"
"1;5;0.8 read / 0.2 write;2880;1,000;2524233884;0,99999998"
"1;5;0.8 read / 0.2 write;5000;0,250;2524233890;0,99999999"
"1;5;0.8 read / 0.2 write;5000;1,000;2524233884;0,99999998"
"3;5;0.8 read / 0.2 write;2880;0,250;2605248756;0,99999995"
"3;5;0.8 read / 0.2 write;2880;1,000;2605248686;0,99999993"
"3;5;0.8 read / 0.2 write;5000;0,250;2605237089;0,99999549"
"3;5;0.8 read / 0.2 write;5000;1,000;2605248686;0,99999993"
"1;5;0.6 read / 0.4 write;2880;0,250;2544314833;0,99999998"
"1;5;0.6 read / 0.4 write;2880;1,000;2544287285;0,99998935"
"1;5;0.6 read / 0.4 write;5000;0,250;2544314833;0,99999998"
"1;5;0.6 read / 0.4 write;5000;1,000;2544314824;0,99999997"
"3;5;0.6 read / 0.4 write;2880;0,250;2615764198;0,99999993"
"3;5;0.6 read / 0.4 write;2880;1,000;2615548550;0,99991819"
"3;5;0.6 read / 0.4 write;5000;0,250;2615764198;0,99999993"
"3;5;0.6 read / 0.4 write;5000;1,000;2615764093;0,99999989"
