"cons;rf;proportion (read / write);Pread (J/s);Pwrite (J/s);Eread (J);Ewrite(J);Esys(J)"
"1;3;0.8 read / 0.2 write;32;40;184061;169483;353545"
"1;3;0.8 read / 0.2 write;32;48;184061;203380;387441"
"1;3;0.8 read / 0.2 write;40;40;230076;169483;399560"
"1;3;0.8 read / 0.2 write;40;48;230076;203380;433457"
"3;3;0.8 read / 0.2 write;32;40;189961;59749;249710"
"3;3;0.8 read / 0.2 write;32;48;189961;71699;261660"
"3;3;0.8 read / 0.2 write;40;40;237451;59749;297201"
"3;3;0.8 read / 0.2 write;40;48;237451;71699;309151"
"1;3;0.6 read / 0.4 write;32;40;137983;338813;476796"
"1;3;0.6 read / 0.4 write;32;48;137983;406575;544559"
"1;3;0.6 read / 0.4 write;40;40;172479;338813;511292"
"1;3;0.6 read / 0.4 write;40;48;172479;406575;579054"
"3;3;0.6 read / 0.4 write;32;40;142342;119391;261732"
"3;3;0.6 read / 0.4 write;32;48;142342;143269;285610"
"3;3;0.6 read / 0.4 write;40;40;177927;119391;297318"
"3;3;0.6 read / 0.4 write;40;48;177927;143269;321196"
"1;5;0.8 read / 0.2 write;32;40;184061;281316;465377"
"1;5;0.8 read / 0.2 write;32;48;184061;337579;521640"
"1;5;0.8 read / 0.2 write;40;40;230076;281316;511393"
"1;5;0.8 read / 0.2 write;40;48;230076;337579;567656"
"3;5;0.8 read / 0.2 write;32;40;189961;169074;359035"
"3;5;0.8 read / 0.2 write;32;48;189961;202888;392850"
"3;5;0.8 read / 0.2 write;40;40;237451;169074;406525"
"3;5;0.8 read / 0.2 write;40;48;237451;202888;440340"
"1;5;0.6 read / 0.4 write;32;40;137983;562376;700360"
"1;5;0.6 read / 0.4 write;32;48;137983;674852;812835"
"1;5;0.6 read / 0.4 write;40;40;172479;562376;734855"
"1;5;0.6 read / 0.4 write;40;48;172479;674852;847331"
"3;5;0.6 read / 0.4 write;32;40;142342;337841;480183"
"3;5;0.6 read / 0.4 write;32;48;142342;405410;547751"
"3;5;0.6 read / 0.4 write;40;40;177927;337841;515769"
"3;5;0.6 read / 0.4 write;40;48;177927;405410;583337"
